     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.010,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.010,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.010,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.011,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.012,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.010,pymatching,05d0eb11ac892071034fc98b032edf5ae0403979b6b6649155ab5219f3703dcb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
       272,         0,         0,   0.018,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.011,pymatching,8c2d482b9c809107dbdb2fcf5741bc6c981f22f9926e1f2b9d77fa10cfbbb492,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
         1,         0,         0,   0.010,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
       272,         0,         0,   0.018,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.011,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.023,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.011,pymatching,8c2d482b9c809107dbdb2fcf5741bc6c981f22f9926e1f2b9d77fa10cfbbb492,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
       272,         1,         0,   0.019,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.019,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.025,pymatching,05d0eb11ac892071034fc98b032edf5ae0403979b6b6649155ab5219f3703dcb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
       272,         0,         0,   0.018,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         3,         0,   0.026,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
       272,         3,         0,   0.039,pymatching,8c2d482b9c809107dbdb2fcf5741bc6c981f22f9926e1f2b9d77fa10cfbbb492,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
       272,         4,         0,   0.037,pymatching,8c2d482b9c809107dbdb2fcf5741bc6c981f22f9926e1f2b9d77fa10cfbbb492,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
      1024,         1,         0,   0.064,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         3,         0,   0.066,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         2,         0,   0.065,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.065,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.086,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         2,         0,   0.088,pymatching,05d0eb11ac892071034fc98b032edf5ae0403979b6b6649155ab5219f3703dcb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         2,         0,   0.091,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         7,         0,   0.094,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         1,         0,   0.063,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         4,         0,   0.066,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         0,         0,   0.066,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         0,         0,   0.064,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,        16,         0,   0.123,pymatching,8c2d482b9c809107dbdb2fcf5741bc6c981f22f9926e1f2b9d77fa10cfbbb492,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
      1024,         1,         0,   0.064,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         2,         0,   0.085,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         8,         0,   0.136,pymatching,8c2d482b9c809107dbdb2fcf5741bc6c981f22f9926e1f2b9d77fa10cfbbb492,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
         1,         0,         0,   0.016,pymatching,05d0eb11ac892071034fc98b032edf5ae0403979b6b6649155ab5219f3703dcb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         0,         0,   0.065,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.085,pymatching,05d0eb11ac892071034fc98b032edf5ae0403979b6b6649155ab5219f3703dcb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         3,         0,   0.066,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.064,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         0,         0,   0.065,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.026,pymatching,05d0eb11ac892071034fc98b032edf5ae0403979b6b6649155ab5219f3703dcb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         0,         0,   0.097,pymatching,c11bd7a6916ff93ef0b4d2381c900fae1bdde27923bd5fbf2493e1c31bf99ead,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.015,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         2,         0,   0.063,pymatching,d0423bb0e58bc6b5c4a9772f51ec8c1497c8d2180f736769a09e5a0e0dff522d,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.018,pymatching,881d35c4a8f1de64e6ff17bd6f2b076a6abe4debb966553689ccc71d60cda8ee,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
