     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.010,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.011,pymatching,4b8f826578cb1a9d90f14c7a7720baae0f8344a534755c11a9935a55f1876c3e,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.011,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.010,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.011,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
       272,         0,         0,   0.019,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.019,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.024,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
       272,         0,         0,   0.024,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
       272,         1,         0,   0.048,pymatching,4b8f826578cb1a9d90f14c7a7720baae0f8344a534755c11a9935a55f1876c3e,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         0,         0,   0.066,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.011,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.069,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.020,pymatching,4b8f826578cb1a9d90f14c7a7720baae0f8344a534755c11a9935a55f1876c3e,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.010,pymatching,38ca9e450ab35f34fb026cb1d5dd6b6fc3846903ff82baa199f773a86103948a,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
       272,         0,         0,   0.019,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.085,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.013,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         1,         0,   0.023,pymatching,4b8f826578cb1a9d90f14c7a7720baae0f8344a534755c11a9935a55f1876c3e,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.014,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.091,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
         1,         0,         0,   0.010,pymatching,38ca9e450ab35f34fb026cb1d5dd6b6fc3846903ff82baa199f773a86103948a,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
       272,         0,         0,   0.019,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         2,         0,   0.033,pymatching,38ca9e450ab35f34fb026cb1d5dd6b6fc3846903ff82baa199f773a86103948a,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
      1024,         1,         0,   0.062,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         0,         0,   0.018,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
       272,         4,         0,   0.032,pymatching,38ca9e450ab35f34fb026cb1d5dd6b6fc3846903ff82baa199f773a86103948a,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
      1024,         0,         0,   0.066,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         0,         0,   0.066,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         7,         0,   0.149,pymatching,4b8f826578cb1a9d90f14c7a7720baae0f8344a534755c11a9935a55f1876c3e,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         4,         0,   0.086,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         0,         0,   0.066,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         3,         0,   0.061,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         6,         0,   0.086,pymatching,4b8f826578cb1a9d90f14c7a7720baae0f8344a534755c11a9935a55f1876c3e,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         0,         0,   0.065,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         1,         0,   0.086,pymatching,088c079d8813ecf3b99f2335573b9c45aae2df0de5ce86271f5adb6b0a3e1a01,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000646,""r"":36}",
      1024,         4,         0,   0.068,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         0,         0,   0.065,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         3,         0,   0.063,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         5,         0,   0.124,pymatching,38ca9e450ab35f34fb026cb1d5dd6b6fc3846903ff82baa199f773a86103948a,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.000835,""r"":36}",
      1024,         0,         0,   0.065,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
      1024,         0,         0,   0.064,pymatching,1a946916cdf11b1a42433a43ec3cb62e323a73f9882addd1e3a9411fc5a863eb,"{""b"":""X"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
         1,         0,         0,   0.017,pymatching,5c3d2edb7e647daefc391bac1490eaf6cd4615fb5913d620f03d623636fa2202,"{""b"":""Z"",""c"":""heavy_hex"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.0005,""r"":36}",
